################################################################################
## This is the redshift list for BAT-detected GRBs.
## Columns are:
## GRBname: GRB name
## z: GRB redshift
## Method: The mothod for how the redshift is determined:
##         "ba": spectroscopic measurement from absorption lines;
##         "he": spectroscopic measurement from host galaxy;
##         "bp": photometric redshift;
##         "hp": photometric redshift from host galaxy.
## Uncertainty (mostly for photo-z): The uncertainty for the photometric redshift;
##                                   the numbers quoted directly from the reference,
##                                   and might refer to different confidence ranges.
## Ref.: References of the GRB redshift measurements.
##       If there are more than one references presented,
##       The reference marked with "*" is the one related
##        to the value presented in this table.
################################################################################
## GRBname | z | Method | Uncertainty (when available; mostly for photo-z) | Ref.
GRB190106A  |   1.859     | ba |   N/A   |   Xu et al. GCN Circ. 23629 (Xinglong); Mao et al. GCN Circ. 23630 (GMG); *Schady et al. GCN Circ. 23632 (VLR/X-shooter)  
GRB181213A  |   <2.4     | Optical limit |   N/A   |   Heintz et al. GCN Circ. 23537 (NOT)  
GRB181110A  |   1.505    | ba |   N/A   |   Perley et al. GCN Circ. 23421 (VLT/X-shooter)  
GRB181020A  |   2.938    | ba |   N/A   |   Fynbo et al. GCN Circ. 23356 (VLT/X-shooter)  
GRB181010A  |   1.39     | ba (and be) |   N/A   |   Vielfaure et al. GCN Circ. 23315 (VLA/X-shooter)  
GRB180728A  |   0.117    | ba |   N/A   |   Rossi et al. GCN Circ. 23055 (VLA/X-shooter)  
GRB180720B  |   0.654    | ba |   N/A   |   Vreeswijk et al. GCN Circ. 22996 (VLA/X-shooter)  
GRB180624A  |   2.855    | ba |   N/A   |   *Rossi et al. GCN Circ. 22845 (LBT/MODS); Schady et al. GCN Circ. 22840 (GROND; photo-z)  
GRB180620B  |   1.1175   | ba |   N/A   |   Izzo et al. GCN Circ. 22823 (VLA/X-shooter)  
GRB180620A  |   <1.2     | UVOT limit |   N/A   |   Breeveld et al. GCN Circ. 22805  
GRB180618A  |   <1.2     | UVOT limit |   N/A   |   Siegel et al. GCN Circ. 22810  
GRB180510B  |   1.305    | ba |   N/A   |   Palmerio et al. GCN Circ. 22702 (VLT/X-shooter)  
GRB180404A  |   1.000    | ba |   N/A   |   Selsing et al. GCN Circ. 22591 (VLT/X-shooter)  
GRB180329B  |   1.998    | ba |   N/A   |   Izzo et al. GCN Circ. 22567 (VLT/X-shooter)  
GRB180325A  |   2.25     | ba |   N/A   |   Heintz et al. GCN Circ. 22535 (NOT); D'Avanzo etal. GCN Circ. 22555 (VLT/X-shooter)  
GRB180314A  |   1.445    | ba |   N/A   |   Sbarufatti et al. GCN Circ. 22484  
GRB180205A  |   1.409    | ba |   N/A   |   Tanvir et al. GCN Circ. 22384  
GRB180115A  |   2.487   | afterglow Lyman-alpha |   N/A   |   de Ugarte Postigo et al. GCN Circ. 22346  
GRB171222A  |   2.409   | afterglow Lyman-alpha |   N/A   |   de Ugarte Postigo et al. GCN Circ. 22272  
GRB171209A  |   1.8-2.8   | UVOT limit |   N/A   |   Kuin et al. GCN Circ. 22221  
GRB171205A  |    0.037    | he (also ba) |   N/A   |   Izzo et al. GCN Circ. 22180  
GRB171020A  |   1.87     | ba |   N/A   |   Malesani et al. GCN Circ. 22039  
GRB170903A  |   0.886    | he |   N/A   |   de Ugarte Postigo et al. GCN Circ. 21799  
GRB170714A  |   0.793    | he |   N/A   |   de Ugarte Postigo et al. GCN Circ. 21359  
GRB170705A  |   2.010    | ba |   N/A   |   de Ugarte Postigo et al. GCN Circ. 21298  
GRB170607A  |   0.557    | be |   N/A   |   de Ugarte Postigo et al. GCN Circ. 21240; Heintz et al. GCN Circ. 21217 (redshift from the possible host galaxy)  
GRB170604A  |   1.329    | ba |   N/A   |   Izzo et al. GCN Circ. 21197  
GRB170531B  |   2.366    | ba |   N/A   |   de Ugarte Postigo et al. GCN Circ. 21177; Wiersema et al. GCN Circ. 21209  
GRB170519A  |   0.818    | ba |   N/A   |    Izzo et al. GCN Circ. 21119 (GTC/OSIRIS)  
GRB170405A  |   3.510     | ba |   N/A   |   de Ugarte Postigo et al. GCN Circ. 20990  
GRB170202A  |   3.645     | afterglow Lyman-alpha |   N/A   |   de Ugarte Postigo et al. GCN Circ. 20584 (OSIRIS/GTC); Xu et al. GCN Circ. 20588 (Xinglong); Palmerio et al. GCN Circ. 20590 (VLT/X-shooter)  
GRB170113A  |   1.968    | ba |   N/A   |   Xu et al. GCN Circ. 20458  
GRB161219B  |   0.1475    | ba |   N/A   |   Tanvir et al. GCN Circ. 20321; de Ugarte Postigo et al. GCN Circ. 20342  
GRB161214B  |   <1.5     | UVOT limit |   N/A   |   Marshall et al. GCN Circ. 20268 (UVOT)  
GRB161117A  |   1.549     | ba |   N/A   |   Malesani et al. GCN Circ. 20180 (VLT/X-Shooter)  
GRB161108A  |   0.50(?)   | he |   +0.12 -0.12   |   Malesani et al. GCN Circ. 20146 (NOT; SDSS)  
GRB161104A  |   0.788(?)  | N/A |   N/A   |   Fong et al. GCN Circ. 20168 (Magellan)  
GRB161017A  |    2.013    | ba |   N/A   |   de Ugarte Postigo et al. GCN Circ. 20069 (GTC); Castro-Tirado et al. GCN Circ. 20077 (GTC); D'Avanzo et al. GCN Circ. 20078 (TNG)  
GRB161014A  |    2.823    | ba |   N/A   |   de Ugarte Postigo et al. GCN Circ. 20043 (GTC); Selsing et al. GCN Circ. 20061 (VLT/X-shooter)   
GRB161001A  |    0.891(?)   | he |   N/A   |   Kruehler et al. GCN Circ. 19971 (VLT/X-shooter)  
GRB160821B  |    0.16     | he |   N/A   |   *Xu et al. GCN Circ. 19846 (WHT)  
GRB160804A  |    0.736    | ba |   N/A   |   *Xu et al. GCN Circ. 19773 (VLT/X-shooter)  
GRB160703A  |    <~1.5     | "UVOT limit" |   N/A   |   Hagen et al. GCN Circ. 19656 (UVOT)  
GRB160624A  |    0.483    | he |   N/A   |    "Cucchiara et al. GCN Circ. 19565 (Gemini North)"  
GRB160425A  |    0.555    | he |   N/A   |    "Tanvir et al. GCN Circ. 19350 (VLT/X-shooter)"  
GRB160410A  |    1.717    | ba |    N/A    |    '*Selsing et al. GCN Circ. 19274 (VLT/X-shooter); Cao et al. GCN Circ. 19278 (VLT/X-shooter redshift)'   
GRB160327A  |    4.99     | "Afterglow Lyman-alpha drop" |    +0.2 -0.9    |    'GCN 19245 (GTC)'   
GRB160314A  |    0.726    | he |     N/A    |    'D'Elia et al. GCN Circ. 19192 (VLT/X-shooter)'   
GRB160303A  |    <2.3     | "Afterglow spectrum" |     N/A    |    'de Ugarte Postigo et al. GCN Circ. 19154 (VLT/X-shooter)'   
GRB160227A  |    2.38     | ba |    N/A    |    'Xu et al. GCN Circ. 19109 (NOT)'   
GRB160203A  |    3.52     | ba |    N/A    |    'Pugliese et al. GCN Circ. 18982 (VLT/X-shooter)'   
GRB160131A  |    0.972    | ba |    N/A    |    'Malesani et al. GCN Circ. 18965 (TNG); *de Ugarte Postigo et al. GCN Circ. 18966 (GTC); Xu et al. GCN Circ. 18969 (Xinglong)'   
GRB160121A  |    1.960(?)     | ha |    N/A    |    'Sanchez-Ramirez et al. GCN Circ. 18925 (GTC)'   
GRB160117B  |    0.87     | ba |    N/A    |    '*de Ugarte Postigo et al. GCN Circ. 18886 (VLT/X-shooter); D’Elia et al. GCN Circ. 18915 (TNG) '   
GRB160104A  |    2.8(?) or 3.84(?)     | ba |    N/A    |    'de Ugarte Postig et al. GCN Circ. 18831 (GTC)'   
GRB151215A  |    2.59     | ba |    N/A    |    'Xu et al. GCN Circ. 18696 (NOT)'   
GRB151112A  |    4.1      | bp |    +0.3 -0.3    |    'Bolmer et al. GCN Circ. 18603 (GROND)'   
