################################################################################
## This is the redshift list for BAT-detected GRBs.
## Columns are:
## GRBname: GRB name
## z: GRB redshift
## Method: The mothod for how the redshift is determined:
##         "ba": spectroscopic measurement from absorption lines;
##         "he": spectroscopic measurement from host galaxy;
##         "bp": photometric redshift;
##         "hp": photometric redshift from host galaxy.
## Uncertainty (mostly for photo-z): The uncertainty for the photometric redshift;
##                                   the numbers quoted directly from the reference,
##                                   and might refer to different confidence ranges.
## Ref.: References of the GRB redshift measurements.
##       If there are more than one references presented,
##       The reference marked with "*" is the one related
##        to the value presented in this table.
################################################################################
## GRBname | z | Method | Uncertainty (when available; mostly for photo-z) | Ref.
GRB120815A  |    2.3586    | ba |     N/A     |    "Malesani D. et al. GCN Circ. 13649; *Kruehler T. et al. A&A 557 A18 (2013)"   
GRB120811C  |    2.671    | ba |     N/A     |    "*Thoene C.C. et al. GCN Circ. 13628; Fynbo J.P.U. et al. GCN Circ. 13632"   
GRB120805A  |    3.1    | "Host Lyman-alpha break" |    +0.1 -0.1    |    "Krühler et al. A&A 581 A125 (2015)"   
GRB120804A  |    1.3    |   hp   |    N/A N/A    |    "Berger E. et al. ApJ 765 121 (2013)"   
GRB120802A  |    3.796    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 13562"   
GRB120729A  |    0.80    | ba |     N/A     |    "Tanvir N.R. & Ball J. GCN Circ. 13532"   
GRB120724A  |    1.48    | ba |     N/A     |    "Cucchiara A. et al. GCN Circ. 13512"   
GRB120722A  |    0.9586    | he |     N/A     |    "D'Elia V. et al. GCN Circ. 13507"   
GRB120714B  |    0.3984    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 13477"   
GRB120712A  |    4.1745    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 13458; *Xu D. et al. GCN Circ. 13460"   
GRB120624B  |    2.1974    | ba |     N/A     |    "de Ugarte Postigo A. et al. A&A 557 L18 (2013)"   
GRB120521C  |    5.93    | bp |    +0.11 -0.14    |    "Tanvir N.R. et al. GCN Circ. 13348; *Laskar T. et al. ApJ 781 1 (2014)"   
GRB120422A  |    0.28253    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 13251; Schulze S. et al. GCN Circ. 13257; *Schulze S. et al. A&A 566 A102 (2014)"   
GRB120404A  |    2.876    | ba |     N/A     |    "*Cucchiara A. et al. GCN Circ. 13217; D'Elia V. et al. GCN Circ. 13227"   
GRB120401A  |    4.5    | bp |    +0.5 -0.5    |    "Sudilovsky V. et al. GCN Circ. 13219"   
GRB120327A  |    2.8145    | ba |     N/A     |    "Perley D.A. & Tanvir N.R. GCN Circ. 13133; Kruehler T. et al. GCN Circ. 13134; Sanchez-Ramirez R. et al. GCN Circ. 13146; *D'Elia V. et al. A&A 564 38 (2014)"   
GRB120326A  |    1.798    | ba |     N/A     |    "Tello J.C. et al. GCN Circ. 13118"   
GRB120224A  |     1.1     | "Host Balmer break" |    +0.2 -0.2    |    "Krühler et al. A&A 581 A125 (2015)"   
GRB120211A  |     2.4     | "Host Lyman-alpha break" |    +0.1 -0.1    |    "Krühler et al. A&A 581 A125 (2015)"   
GRB120119A  |    1.728    | ba |     N/A     |    "Cucchiara A. & Prochaska J.X. GCN Circ. 12865; Pancoast A. et al. GCN Circ. 12866; Milisavljevic D. et al. GCN Circ. 12876; *Morgan A.N. et al. MNRAS 440 1810 (2014)"   
GRB120118B  |    2.943    | he |     N/A     |    "Malesani D. et al. GCN Circ. 14225"   
GRB111229A  |    1.3805    | ba |     N/A     |    "Cucchiara A. et al. GCN Circ. 12777"   
GRB111228A  |    0.71627    | ba |     N/A     |    "Dittman J. et al. GCN Circ. 12759; Cucchiara A. et al. GCN Circ. 12761; Palazzi E. et al. GCN Circ. 12763; Xu D. et al. GCN Circ. 12764; *Schulze S. et al. GCN Circ. 12770"   
GRB111225A  |    0.297    | ba |     N/A     |    "Thoene C.C. & de Ugarte Postigo A. GCN Circ. 16079"   
GRB111209A  |    0.677    | ba |     N/A     |    "Vreeswijk P. et al. GCN Circ. 12648; *Levan A.J. et al. ApJ 781 13 (2014)"   
GRB111129A  |    1.0796    | he |    N/A    |    "Krühler et al. A&A 581 A125 (2015)"   
GRB111123A  |    3.1516    | he |     N/A     |    "Xu D. et al. GCN Circ. 14273"   
GRB111117A  |    2.211 or 1.3?    |   hp   |    +0.46 -0.23    |    " *Selsing et al. 2017 (z=2.211); Margutti R. et al. ApJ 756 63 (2012) (z=1.3); *Sakamoto T. et al. ApJ 766 41 (2013) (1.3)"   
GRB111107A  |    2.893    | ba |     N/A     |    "*Chornock R. et al. GCN Circ. 12537; D'Avanzo P. et al. GCN Circ. 12542"   
GRB111008A  |    4.99005    | ba |     N/A     |    "Levan A.J. et al. GCN Circ. 12429; Wiersema K. et al. GCN Circ. 12431; *Sparre M. et al. ApJ 785 150 (2014)"   
GRB111005A  |    0.01326(?)    | redshift from the known galaxy |    N/A    |    "Levan et al. GCN Circ. 12414"   
GRB110818A  |    3.36    | ba |     N/A     |    "D'Avanzo P. et al. GCN Circ. 12284"   
GRB110808A  |    1.348    | ba |     N/A     |    "de Ugarte Postigo A. et al. GCN Circ. 12258"   
GRB110801A  |    1.858    | ba |     N/A     |    "Cabrera Lavers A. et al. GCN Circ. 12234"   
GRB110731A  |    2.83    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 12225"   
GRB110726A  |    1.036    | ba |     N/A     |    "Cucchiara A. et al. GCN Circ. 12202"   
GRB110715A  |    0.8224    | ba |     N/A     |    "Piranomonte S. et al. GCN Circ. 12164; *Sanchez-Ramirez R. et al. EAS 61 267 (2013)"   
GRB110503A  |    1.613    | ba |     N/A     |    "*de Ugarte Postigo A. et al. GCN Circ. 11993; D'Avanzo P. et al. GCN Circ. 11997"   
GRB110422A  |    1.770    | ba |     N/A     |    "Malesani D. et al. GCN Circ. 11977; *de Ugarte Postigo A. et al. GCN Circ. 11978"   
GRB110213A  |    1.4607    | ba |     N/A     |    "Milne P.A. & Cenko S.B. GCN Circ. 11708; *Cucchiara A. et al. ApJ 743 154 (2011)"   
GRB110205A  |    2.22    | ba |     N/A     |    "Cenko S.B. et al. GCN Circ. 11638; Vreeswijk P. et al. GCN Circ. 11640; *Cucchiara A. et al. ApJ 743 154 (2011)"   
GRB110128A  |    2.339    | ba |     N/A     |    "Sparre M. et al. GCN Circ. 11607"   
GRB110106B  |    0.618    | he |     N/A     |    "Chornock R. et al. GCN Circ. 11538"   
GRB101225A  |    0.847    | he |     N/A     |    "Levan A.J. et al. ApJ 781 13 (2014)"   
GRB101219B  |    0.55185    | ba |     N/A     |    "de Ugarte Postigo A. et al. GCN Circ. 11579; *Sparre M. et al. ApJ 735 L24 (2011)"   
GRB101219A  |    0.718    | he |     N/A     |    "Chornock R. & Berger E. GCN Circ. 11518; *Fong W. et al. ApJ 769 56 (2013)"   
GRB101213A  |    0.414    | he |     N/A     |    "Chornock R. & Berger E. GCN Circ. 11544"   
GRB100906A  |    1.727    | ba |     N/A     |    "Tanvir N.R. et al. GCN Circ. 11230"   
GRB100905A  |    7.88     |   hp   |   +0.75 -0.94   |    "Bolmer J. et al. (2017)"  
GRB100901A  |    1.4084    | ba |     N/A     |    "Chornock R. et al. GCN Circ. 11164; *Hartoog O.E. et al. MNRAS 430 2739 (2013)"   
GRB100816A  |    0.8049    | ba |     N/A     |    "*Tanvir N.R. et al. GCN Circ. 11123; Gorosabel J. et al. GCN Circ. 11125"   
GRB100814A  |    1.44    | ba |     N/A     |    "O'Meara J. et al. GCN Circ. 11089"   
GRB100728B  |    2.106    | ba |     N/A     |    "Flores H. et al. GCN Circ. 11317"   
GRB100728A  |    1.567    | he |     N/A     |    "Kruehler T. et al. GCN Circ. 14500"   
GRB100724A  |    1.288    | ba |     N/A     |    "Thoene C.C. et al. GCN Circ. 10971"   
GRB100628A  |    0.102    | he |     N/A     |    "Cenko S.B. et al. GCN Circ. 10946"   
GRB100625A  |    0.452    | he |     N/A     |    "Fong W. et al. ApJ 769 56 (2013)"   
GRB100621A  |    0.542    | he |     N/A     |    "Milvang-Jensen B. et al. GCN Circ. 10876"   
GRB100615A  |    1.398    | he |     N/A     |    "Kruehler T. et al. GCN Circ. 14264"   
GRB100513A  |    4.772    | ba |     N/A     |    "Cenko S.B. et al. GCN Circ. 10752"   
GRB100508A  |    0.5201    | he |    N/A    |    "Krühler et al. A&A 581 A125 (2015)"   
GRB100425A  |    1.755    | ba |     N/A     |    "Malesani D. et al. GCN Circ. 10684"   
GRB100424A  |    2.465    | he |     N/A     |    "Malesani D. et al. GCN Circ. 14291"   
GRB100418A  |    0.6239    | ba |     N/A     |    "Antonelli L.A. et al. GCN Circ. 10620; Cucchiara A. & Fox D.B. GCN Circ. 10624; *de Ugarte Postigo A. et al. AN 332 297 (2011)"   
GRB100316D  |    0.0591    | he |     N/A     |    "Vergani S.D. et al. GCN Circ. 10512; Chornock R. et al. arXiv:1104.2262 (2010); *Starling R.L.C. et al. MNRAS 411 2792 (2011)"   
GRB100316B  |    1.180    | ba |     N/A     |    "Vergani S.D. et al. GCN Circ. 10495"   
GRB100316A  |    3.155    | he |     N/A     |    "Sanchez-Ramirez R. et al. RMxAC 42 113 (2013)"   
GRB100302A  |    4.813    | ba |     N/A     |    "Chornock R. et al. GCN Circ. 10466"   
GRB100219A  |    4.66723    | ba |     N/A     |    "Groot P. at al. GCN Circ. 10441; Cenko S.B. et al GCN Circ. 10443; de Ugarte Postigo A. et al. GCN Circ. 10445; *Thoene C.C. et al. MNRAS 428 3590 (2013)"   
GRB100213B  |    0.604    | he |     N/A     |    "Cucchiara A. et al. GCN Circ. 10422"   
GRB100117A  |    0.915    | ba |     N/A     |    "Fong W. et al. ApJ 730 26 (2011)"   
GRB091208B  |    1.0633    | ba |     N/A     |    "Wiersema K. et al. GCN Circ. 10263; *Perley D.A. et al. GCN Circ. 10272"   
GRB091127  |    0.49044    | he |     N/A     |    "Cucchiara A. et al. GCN Circ. 10202; Thoene C.C. et al. GCN Circ. 10233; *Vergani S.D. et al. A&A 535 A127 (2011)"   
GRB091109A  |    3.076    | ba |     N/A     |    "Rau A. et al. GCN Circ. 10350"   
GRB091029  |    2.752    | ba |     N/A     |    "Chornock R. et al. GCN Circ. 10100"   
GRB091024  |    1.092    | ba |     N/A     |    "*Cucchiara A. et al. GCN Circ. 10065; Cenko S.B. et al. GCN Circ. 10093"   
GRB091020  |    1.71    | ba |     N/A     |    "Xu D. et al. GCN Circ. 10053"   
GRB091018  |    0.9710    | ba |     N/A     |    "Chen H.-W. et al. GCN Circ. 10038; de Ugarte Postigo A. et al. GCN Circ. 10042; *Wiersema K. et al. MNRAS 426 2 (2012)"   
GRB090927  |    1.37    | ba |     N/A     |    "Levan A.J. et al. GCN Circ. 9958"   
GRB090926B  |    1.24    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 9947"   
GRB090814A  |    0.696    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 9797"   
GRB090812  |    2.452    | ba |     N/A     |    "de Ugarte Postigo A. et al. GCN Circ. 9771"   
GRB090809A  |    2.737    | ba |     N/A     |    "Malesani D. et al. GCN Circ. 9761"   
GRB090726  |    2.71    | ba |     N/A     |    "Fatkhullin T. et al. GCN Circ. 9712"   
GRB090715B  |    3.00    | ba |     N/A     |    "Wiersema K. et al. GCN Circ. 9673"   
GRB090709A  |    1.8    |   hp   |    +0.54 -0.66    |    "Perley D.A. et al. ApJ 778 128 (2013)"   
GRB090618  |    0.54    | ba |     N/A     |    "Cenko S.B. et al. GCN Circ. 9518; Fatkhullin T. et al. GCN Circ. 9542"   
GRB090530  |    1.266    | ba |     N/A     |    "Goldoni P. et al. GCN Circ. 15571"   
GRB090529A  |    2.625    | ba |     N/A     |    "Malesani D. et al. GCN Circ. 9457"   
GRB090519  |    3.85    | ba |     N/A     |    "Levan A.J. et al. GCN Circ. 9409"   
GRB090516A  |    4.109    | ba |     N/A     |    "de Ugarte Postigo A. et al. GCN Circ. 9383"   
GRB090510  |    0.903    | he |     N/A     |    "Rau A. et al. GCN Circ. 9353; *McBreen S. et al. A&A 516 A71 (2010)"   
GRB090429B  |    9.38    | bp |    +0.14 -0.32    |    "Cucchiara A. et al. ApJ 736 7 (2011)"   
GRB090426  |    2.609    | ba |     N/A     |    "Levesque E.M. et al. GCN Circ. 9264; Thoene C.C. et al. GCN Circ. 9269; *Levesque E.M. et al. MNRAS 401 963 (2009)"   
GRB090424  |    0.544    | ba |     N/A     |    "Chornock R. et al. GCN Circ. 9243; Wiersema K. et al. GCN Circ. 9250"   
GRB090423  |    8.26    | ba |    N/A    |    "Tanvir N.R. et al. GCN Circ. 9219; *Tanvir N.R. et al. Nature 461 1254 (2009); Salvaterra R. et al. Nature 461 1258 (2009)"   
GRB090418A  |    1.608    | ba |     N/A     |    "Chornock R. et al. GCN Circ. 9151"   
GRB090417B  |    0.345    | he |     N/A     |    "Berger E. & Fox D.B. GCN Circ. 9156"   
GRB090407  |    1.4485    | he |     N/A     |    "Kruehler T. et al. ApJ 758 46 (2012)"   
GRB090404  |    2.87    |   hp   |    +0.96 -1.69    |    "Perley D.A. et al. ApJ 778 128 (2013)"   
GRB090313  |    3.3736    | ba |     N/A     |    "Chornock R. et al. GCN 8994; Thoene C.C. et al. GCN Circ. 9012; de Ugarte Postigo A. et al. GCN Circ. 9015; *de Ugarte Postigo A. et al. A&A 513 A42 (2010)"   
GRB090205  |    4.6497    | ba |     N/A     |    "Thoene C.C. et al GCN Circ. 8889; *Fugazza D. et al GCN Circ. 8892; D'Avanzo P. et al. A&A 522 A20 (2010); "   
GRB090201  |    2.1    | he |    N/A    |    "Krühler et al. A&A 581 A125 (2015)"   
GRB090113  |    1.7493    | he |     N/A     |    "Kruehler T. et al. ApJ 758 46 (2012)"   
GRB090102  |    1.547    | ba |     N/A     |    "*de Ugarte Postigo A. et al. GCN Circ. 8766; Cenko S.B. et al. GCN Circ. 8773; Cucchiara A. & Fox D.B. GCN Circ. 8774"   
GRB081230  |    2.03    | bp |    +0.16 -0.14    |    "Kruehler T. et al. A&A 526 A153 (2011)"   
GRB081228  |    3.44    | bp |    +0.15 -0.32    |   "Afonso P. et al. GCN Circ. 8752; *Kruehler T. et al. A&A 526 A153 (2011)"   
GRB081222  |    2.77    | ba |     N/A     |    "Breeveld A. et al. GCN Circ. 8712; *Cucchiara A. et al. GCN Circ. 8713;  Graham J.F. et al. GCN Circ. 8718"   
GRB081221  |    2.26    | he |     N/A     |    "Salvaterra R. et al. ApJ 749 68 (2012)"   
GRB081211B  |    0.216    | he |     N/A     |    "Perley D.A. et al. GCN Circ. 8914"   
GRB081203A  |    2.05    | ba |     N/A     |    "Landsman W. et al. GCN Circ. 8601; *Kuin N.P.M. et al. MNRAS 395 L21 (2009)"   
GRB081121  |    2.512    | ba |     N/A     |    "Berger E. & Rauch M. GCN Circ. 8542"   
GRB081118  |    2.58    | ba |     N/A     |    "D'Elia V. et al. GCN Circ. 8531"   
GRB081109A  |    0.9787    | he |     N/A     |    "Kruehler T. et al. A&A 534 A108 (2011)"   
GRB081029  |    3.8479    | ba |     N/A     |    "*D'Elia V. et al. GCN Circ. 8438; Cucchiara A. et al. GCN Circ. 8448"   
GRB081028A  |    3.038    | ba |     N/A     |    "Berger E. et al. GCN Circ. 8434"   
GRB081008  |    1.9683    | ba |     N/A     |    "Cucchiara A. et al. GCN Circ. 8346; D'Avanzo P. et al. GCN Circ. 8350; *D'Elia V. et al. MSAIS 21 206 (2012)"   
GRB081007  |    0.5295    | ba |     N/A     |    "Berger E. et al. GCN Circ. 8335"   
GRB080928  |    1.6919    | ba |     N/A     |    "Vreeswijk P.M. et al. GCN Circ. 8301; Cucchiara A. & Fox D.B. GCN Circ. 8304; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080916A  |    0.6887    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 8254; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080913  |    6.733    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 8225; Greiner J. et al. ApJ 693 1610 (2009); *Patel M. et al. A&A 512 L3 (2010)"   
GRB080906  |    2.13    | bp |    +0.14 -0.20     |    "Holland S. GCN Circ. 8212; *Kruehler T. et al. A&A 526 A153 (2011)"   
GRB080905B  |    2.3739    | ba |    N/A     |   "Vreeswijk P.M. et al. GCN Circ. 8191; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080905A  |    0.1218   | he |   +0.0003 -0.0003   |   "Rowlinson A. et al. MNRAS 408 383(2010)"   
GRB080810  |    3.3604    | ba |     N/A     |    "Prochaska J.X. et al. GCN Circ. 8083; Burenin R. et al. GCN Circ. 8088; de Ugarte Postigo A. et al. GCN Circ. 8089; Page K.L. et al. MNRAS 400 134 (2009); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080805  |    1.5042    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 8077; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080804  |    2.2045    | ba |     N/A     |    "*Thoene C.C. et al. GCN Circ. 8058; Cucchiara A. et al. GCN Circ. 8065"   
GRB080721  |    2.5914    | ba |     N/A     |    "D'Avanzo P. et al. GCN Circ. 7997; Jakobsson P. et al. GCN Circ. 7998; Starling R.L.C. et al. MNRAS 400 90 (2009); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080710  |    0.8454    | ba |     N/A     |    "Perley D.A. et al. GCN Circ. 7962; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080707  |    1.2322    | ba |     N/A     |    "Fynbo J.P.U. et al. GCN Circ. 7949; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080607  |    3.0368    | ba |     N/A     |    "Prochaska J.X. et al. GCN Circ. 7849; Prochaska J.X. et al. ApJ 691 L27 (2009); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080605  |    1.6403    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 7832; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080604  |    1.4171    | ba |     N/A     |    "Wiersema K. et al. GCN Circ. 7818; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080603B  |    2.6892    | ba |     N/A     |    "Fynbo J. et al. GCN Circ. 7797; Cucchiara A. & Fox D.B. GCN Circ. 7815; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080602  |    1.8204    | he |    N/A    |    "Rossi A. et al. A&A 545 A77 (2012) (photo z=1.4+0.3-0.15); *Krühler et al. A&A 581 A125 (2015)"   
GRB080520  |    1.5457    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 7757; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080517  |    0.089    | he |    +0.003 -0.003    |    "Stanway et al. MNRAS 446 3911 (2015)"   
GRB080516  |    3.2    | bp |    +0.3 -0.3    |    "Filgas R. et al. GCN Circ. 7747"   
GRB080515  |    2.47(?)    | "Host Ly-apha break" |    N/A    |    "Preliminary Keck GRB Host Project (http://www.astro.caltech.edu/grbhosts/)"   
GRB080430  |    0.767    | ba |     N/A     |    "de Ugarte Postigo A. et al. GCN Circ. 7650; *Cucchiara A. & Fox D.B. GCN Circ. 7654"   
GRB080413B  |    1.1014    | ba |     N/A     |    "Vreeswijk P.M. et al. GCN Circ. 7601; Cucchiara A. et al. GCN Circ. 7615; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080413A  |    2.4330    | ba |     N/A     |    "Thoene C.C. et al. GCN Circ. 7602; Cucchiara A. et al. GCN Circ. 7616; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080411  |    1.0301    | ba |     N/A     |    "Thoene C.C. et al. GCN Circ. 7587; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080330  |    1.5119    | ba |     N/A     |    "Malesani D. et al. GCN Circ. 7544; Cucchiara A. & Fox D.B. GCN Circ. 7547; Guidorzi C. et al. A&A 499 439 (2009); D'Elia V. et al. A&A 503 437 (2009); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080325  |    1.78    | he |     N/A     |    "Perley D.A. et al. ApJ 778 128 (2013)"   
GRB080319C  |    1.9492    | ba |     N/A     |    "Wiersema K. et al. GCN Circ. 7517; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080319B  |    0.9382    | ba |     N/A     |    "Vreeswijk P. et al. GCN Circ. 7444; Cucchiara A. & Fox D.B. GCN Circ. 7456; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB080310  |    2.42743    | ba |     N/A     |    "Prochaska J.X. et al. GCN Circ. 7388; Berger E. & Rauch M. GCN Circ. 7389; Vreeswijk P.M. et al. GCN Circ. 7391; Prochaska J.X. et al. GCN Circ. 7397; Fox A.J. et al. A&A 491 189 (2008); Fynbo J.P.U. et al. ApJS 185 526 (2009); *De Cia A. et al. A&A 545 A64 (2012)"   
GRB080210  |    2.6419    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 7286; Cucchiara A. & Fox D.B. GCN Circ. 7290; *Fynbo J.P.U. et al. ApJS 185 526 (2009); De Cia A. et al. MNRAS 412 2229 (2011)"   
GRB080207  |    2.0858    | he |     N/A     |    "Kruehler T. et al. ApJ 758 46 (2012)"   
GRB080129  |    4.349    | ba |     N/A     |    "Greiner J. et al. ApJ 693 1912 (2009)"   
GRB071227  |    0.381    | he |     N/A     |    "D'Avanzo P. et al. GCN Circ. 7152; Berger E. et al. GCN Circ. 7154; *D'Avanzo P. et al. A&A 498 711 (2009)"   
GRB071122  |    1.14    | ba |     N/A     |    "Cucchiara A. et al. GCN Circ. 7124"   
GRB071117  |    1.3308    | he |     N/A     |    "Jakobsson P. et al. GCN Circ. 7117; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB071112C  |    0.8227    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 7088; Cucchiara A. & Fox D.B. GCN Circ. 7086; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB071031  |    2.6918    | ba |     N/A     |    "Ledoux C. et al. GCN Circ. 7023; Fox A.J. et al. A&A 491 189 (2008); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB071028B  |    0.94    |   hp   |    +0.05 -0.10    |    "Clemens C. et al. A&A 529 A110 (2011)"   
GRB071025  |    5.2    | ba |    N/A    |    "Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB071021  |    2.4520    | he |    N/A    |   "Kruehler T. et al. ApJ 758 46 (2012)"   
GRB071020  |    2.1462    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 6952; Fatkhullin T.A. et al. GCN Circ. 6984; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB071010B  |    0.947    | ba |     N/A     |    "*Cenko S.B. et al. GCN Circ. 6888; Prochaska J.X. et al. GCN Circ. 6890; Stern D. et al. GCN Circ. 6928"   
GRB071010A  |    0.985    | ba |     N/A     |    "Prochaska J.X. et al. GCN Circ. 6864; *Covino S. et al. MNRAS 388 347 (2008)"   
GRB071003  |    1.60435    | ba |     N/A     |    "Perley D.A. et al. ApJ 688 470 (2008)"   
GRB070810A  |    2.17    | ba |     N/A     |    "Thoene C.C. et al. GCN Circ. 6741"   
GRB070809  |    0.2187    | he |     N/A     |    "Perley D.A. et al. GCN Circ. 7889"   
GRB070802  |    2.4541    | ba |     N/A     |    "Prochaska J.X. et al. GCN Circ. 6698; Eliasdottir A. et al. ApJ 697 1725 (2009); *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB070724A  |    0.4571    | he |     N/A     |    "Cucchiara A. et al. GCN Circ. 6665; Covino S. et al. GCN Circ. 6666; *Berger E. ApJ 690 231 (2009)"   
GRB070721B  |    3.6298    | ba |     N/A     |    "Malesani D. et al. GCN Circ. 6651; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB070714B  |    0.9225    | he |     N/A     |    "Graham J.F. et al. GCN Circ. 6836; *Cenko S.B. et al. arXiv:0802.0874 (2008); Graham J.F. et al. AIPC 1000 289 (2008)"   
GRB070714A  |    1.58(?)    | he |    N/A    |    "Preliminary Keck GRB Host Project (http://www.astro.caltech.edu/grbhosts/)"   
GRB070612A  |    0.617    | he |     N/A     |    "Cenko S.B. et al. GCN Circ. 6556"   
GRB070611  |    2.0394    | ba |     N/A     |    "Thoene C.C. et al. GCN Circ. 6499; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB070529  |    2.4996    | ba |     N/A     |    "Berger E. et al. GCN Circ. 6470"   
GRB070521  |    2.0865    | he |    N/A    |    "Perley D.A. et al. AJ 138 1690 (2009); Perley D.A. et al. ApJ 778 128 (2013); *Krühler et al. A&A 581 A125 (2015)"   
GRB070518  |    1.16(?)    | he |    N/A    |    "Preliminary Keck GRB Host Project (http://www.astro.caltech.edu/grbhosts/)"   
GRB070508  |    0.82    | he |     N/A     |    "Jakobsson P. et al. GCN Circ. 6398"   
GRB070506  |    2.3090    | ba |     N/A     |    "Thoene C.C. et al. GCN Circ. 6379; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB070429B  |    0.9023    | he |     N/A     |    "Perley D.A. et al. GCN Circ. 7140; *Cenko S.B. et al. arXiv:0802.0874 (2008)"   
GRB070420  |    3.01    | bp |    +0.96 -0.68    |    "Oates S. R. et al. MNRAS 395 490 (2009)"   
GRB070419B  |    1.9588    | he |    N/A    |    "Kruehler, T. et al. ApJ, 758, 46 (2012)"   
GRB070419A  |    0.9705    | ba |     N/A     |    "Cenko S.B. et al. GCN Circ. 6322; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB070411  |    2.9538    | ba |     N/A     |    "Jakobsson P. et al. GCN Circ. 6283; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB070328  |    2.06      | he |     N/A     |    "Krühler et al. A&A 581 A125 (2015); *Schulze et al. ApJ 808 73 (2015)"   
GRB070318  |    0.8397    | ba |     N/A     |    "Jaunsen A.O. et al. GCN Circ. 6216; Chen H.-W. et al. GCN Circ. 6217; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB070306  |    1.49594    | he |     N/A     |    "Jaunsen A.O. et al. GCN Circ. 6202; *Jaunsen A.O. et al. ApJ 681 453 (2008); Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB070224  |    1.99    | he |     N/A     |    "Krühler et al. A&A 581 A125 (2015); *Schulze et al. ApJ 808 73 (2015)"   
GRB070208  |    1.165    | ba |     N/A     |    "Cucchiara A. et al. GCN Circ. 6083"   
GRB070129  |    2.3384    | he |     N/A     |    "Jakobsson P. et al. ApJ 752 62 (2012); *Kruehler T. et al. ApJ 758 46 (2012)"   
GRB070125  |    1.5477    | ba |     N/A     |    "Fox D.B. et al. GCN Circ. 6071; *Cenko S.B. et al. ApJ 677 441 (2008); Updike A.C. et al. ApJ 685 361 (2008); Fynbo J.P.U. et al. ApJS 185 526 (2009); *De Cia A. et al. MNRAS 418 129 (2011)"   
GRB070110  |    2.3521    | ba |     N/A     |    "Jaunsen A.O. et al. GCN Circ. 6010; *Fynbo J.P.U. et al. ApJS 185 526 (2009)"   
GRB070103  |    2.6208    | he |     N/A     |    "Kruehler T. et al. ApJ 758 46 (2012)"   
GRB061222B  |    3.355    | ba |     N/A     |    "Berger E. GCN Circ. 5962"   
GRB061222A  |    2.088    | he |     N/A     |    "Perley D.A. et al. AJ 138 1690 (2009)"   
GRB061217  |    0.8270    | he |     N/A     |    "Berger E. GCN Circ. 5965; *Berger E. et al. ApJ 664 1000 (2007)"   
