#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## Trig_time_met: The BAT trigger time shown in the Swift machine time (MET), in unit of sec.
## T100_start: The start time of T100, relative to the BAT trigger time, in unit of sec.
## T100_stop: The end time of T100, relative to the BAT trigger time, in unit of sec.
## T90_start: The start time of T90, relative to the BAT trigger time, in unit of sec.
## T90_stop: The end time of T90, relative to the BAT trigger time, in unit of sec.
## T50_start: The start time of T50, relative to the BAT trigger time, in unit of sec.
## T50_stop: The end time of T50, relative to the BAT trigger time, in unit of sec.
## 1s_peak_start: The start time of 1-s peak, relative to the BAT trigger time, in unit of sec.
## 1s_peak_stop: The end time of 1-s peak, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | Trig_time_met | T100_start | T100_stop | T90_start | T90_stop | T50_start | T50_stop | 1s_peak_start | 1s_peak_stop 
GRB200227A   |    958592    | 604480832.512000 | -0.496000 | 87.732000 | 2.336000 | 32.664000 | 7.704000 | 16.592000 | 8.544000 | 9.544000 |
GRB200224A   |    958141    | 604207513.792000 | -0.792000 | 49.208000 | -0.792000 | 44.208000 | 2.208000 | 32.208000 | 2.208000 | 3.208000 |
GRB200219A   |    957271    | 603790633.600000 | -15.600000 | 304.400000 | -15.600000 | 272.400000 | 0.400000 | 144.400000 | -8.100000 | -7.100000 |
GRB200216B   |    956824    | 603552778.304000 | -0.720000 | 79.720000 | 0.488000 | 67.936000 | 4.048000 | 42.244000 | 2.804000 | 3.804000 |
GRB200215A   |    956639    | 603470396.416000 | -9.972000 | 5.368000 | -7.336000 | 3.812000 | -2.088000 | 1.620000 | -0.160000 | 0.840000 |
GRB200205B   |    954519    | 602623328.000000 | 47.100000 | 520.396000 | 54.032000 | 507.944000 | 395.948000 | 442.804000 | 437.892000 | 438.892000 |
GRB200131A   |    953689    | 602203300.352000 | -3.452000 | 46.556000 | -1.964000 | 30.776000 | -0.548000 | 1.180000 | 0.016000 | 1.016000 |
GRB200127A   |    952791    | 601829096.000000 | -144.312000 | 92.936000 | -138.744000 | 78.280000 | -45.560000 | 44.488000 | 41.844000 | 42.844000 |
GRB200125A   |    952164    | 601644723.520000 | -36.224000 | 427.736000 | -15.472000 | 334.864000 | 86.632000 | 290.200000 | 286.668000 | 287.668000 |
GRB200122A   |    950330    | 601350084.672000 | -8.820000 | 229.076000 | 1.884000 | 192.480000 | 8.728000 | 27.528000 | 10.180000 | 11.180000 |
